antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"category:sportswear, country:UK","in_stock:yes, store:oneractive",0.1575,0.1142,0.1142,0.725,6.3483,1.0,0.0962,3.2211,1.0,0.725,0.6895,0.8625
"category:sportswear, store:oneractive","country:UK, in_stock:yes",0.1575,0.2292,0.1142,0.725,3.1633,1.0,0.0781,2.8029,0.8117,0.4191,0.6432,0.6116
store:oneractive,"category:sportswear, country:UK, in_stock:yes",0.1575,0.1142,0.1142,0.725,6.3483,1.0,0.0962,3.2211,1.0,0.725,0.6895,0.8625
category:sportswear,"country:UK, in_stock:yes, store:oneractive",0.1575,0.1142,0.1142,0.725,6.3483,1.0,0.0962,3.2211,1.0,0.725,0.6895,0.8625
"in_stock:yes, price:mid, store:oneractive",country:UK,0.11,0.3676,0.11,1.0,2.7207,1.0,0.0696,999.0,0.7106,0.2993,1.0,0.6496
"in_stock:yes, store:oneractive","country:UK, price:mid",0.1142,0.2828,0.11,0.9632,3.4066,1.0,0.0777,19.5002,0.7975,0.3833,0.9487,0.6761
"price:mid, store:oneractive","country:UK, in_stock:yes",0.1268,0.2292,0.11,0.8675,3.785,1.0,0.0809,5.8172,0.8427,0.4472,0.8281,0.6737
store:oneractive,"country:UK, in_stock:yes, price:mid",0.1575,0.2024,0.11,0.6983,3.45,1.0,0.0781,2.6439,0.8429,0.4401,0.6218,0.6209
"in_stock:yes, price:mid, store:oneractive",category:sportswear,0.11,0.1575,0.11,1.0,6.3483,1.0,0.0927,999.0,0.9466,0.6983,1.0,0.8492
"category:sportswear, in_stock:yes, price:mid",store:oneractive,0.11,0.1575,0.11,1.0,6.3483,1.0,0.0927,999.0,0.9466,0.6983,1.0,0.8492
"in_stock:yes, store:oneractive","category:sportswear, price:mid",0.1142,0.1268,0.11,0.9632,7.5961,1.0,0.0955,23.74,0.9803,0.8397,0.9579,0.9154
"category:sportswear, in_stock:yes","price:mid, store:oneractive",0.1142,0.1268,0.11,0.9632,7.5961,1.0,0.0955,23.74,0.9803,0.8397,0.9579,0.9154
"price:mid, store:oneractive","category:sportswear, in_stock:yes",0.1268,0.1142,0.11,0.8675,7.5961,1.0,0.0955,6.685,0.9945,0.8397,0.8504,0.9154
"category:sportswear, price:mid","in_stock:yes, store:oneractive",0.1268,0.1142,0.11,0.8675,7.5961,1.0,0.0955,6.685,0.9945,0.8397,0.8504,0.9154
store:oneractive,"category:sportswear, in_stock:yes, price:mid",0.1575,0.11,0.11,0.6983,6.3483,1.0,0.0927,2.9503,1.0,0.6983,0.661,0.8492
category:sportswear,"in_stock:yes, price:mid, store:oneractive",0.1575,0.11,0.11,0.6983,6.3483,1.0,0.0927,2.9503,1.0,0.6983,0.661,0.8492
"country:UK, in_stock:yes, price:mid, store:oneractive",category:sportswear,0.11,0.1575,0.11,1.0,6.3483,1.0,0.0927,999.0,0.9466,0.6983,1.0,0.8492
"category:sportswear, country:UK, in_stock:yes, price:mid",store:oneractive,0.11,0.1575,0.11,1.0,6.3483,1.0,0.0927,999.0,0.9466,0.6983,1.0,0.8492
"category:sportswear, in_stock:yes, price:mid, store:oneractive",country:UK,0.11,0.3676,0.11,1.0,2.7207,1.0,0.0696,999.0,0.7106,0.2993,1.0,0.6496
"country:UK, in_stock:yes, store:oneractive","category:sportswear, price:mid",0.1142,0.1268,0.11,0.9632,7.5961,1.0,0.0955,23.74,0.9803,0.8397,0.9579,0.9154
"country:UK, price:mid, store:oneractive","category:sportswear, in_stock:yes",0.1268,0.1142,0.11,0.8675,7.5961,1.0,0.0955,6.685,0.9945,0.8397,0.8504,0.9154
"category:sportswear, country:UK, in_stock:yes","price:mid, store:oneractive",0.1142,0.1268,0.11,0.9632,7.5961,1.0,0.0955,23.74,0.9803,0.8397,0.9579,0.9154
"category:sportswear, country:UK, price:mid","in_stock:yes, store:oneractive",0.1268,0.1142,0.11,0.8675,7.5961,1.0,0.0955,6.685,0.9945,0.8397,0.8504,0.9154
"category:sportswear, in_stock:yes, store:oneractive","country:UK, price:mid",0.1142,0.2828,0.11,0.9632,3.4066,1.0,0.0777,19.5002,0.7975,0.3833,0.9487,0.6761
"category:sportswear, price:mid, store:oneractive","country:UK, in_stock:yes",0.1268,0.2292,0.11,0.8675,3.785,1.0,0.0809,5.8172,0.8427,0.4472,0.8281,0.6737
"in_stock:yes, price:mid, store:oneractive","category:sportswear, country:UK",0.11,0.1575,0.11,1.0,6.3483,1.0,0.0927,999.0,0.9466,0.6983,1.0,0.8492
"category:sportswear, in_stock:yes, price:mid","country:UK, store:oneractive",0.11,0.1575,0.11,1.0,6.3483,1.0,0.0927,999.0,0.9466,0.6983,1.0,0.8492
"country:UK, store:oneractive","category:sportswear, in_stock:yes, price:mid",0.1575,0.11,0.11,0.6983,6.3483,1.0,0.0927,2.9503,1.0,0.6983,0.661,0.8492
"category:sportswear, country:UK","in_stock:yes, price:mid, store:oneractive",0.1575,0.11,0.11,0.6983,6.3483,1.0,0.0927,2.9503,1.0,0.6983,0.661,0.8492
"category:sportswear, store:oneractive","country:UK, in_stock:yes, price:mid",0.1575,0.2024,0.11,0.6983,3.45,1.0,0.0781,2.6439,0.8429,0.4401,0.6218,0.6209
"in_stock:yes, store:oneractive","category:sportswear, country:UK, price:mid",0.1142,0.1268,0.11,0.9632,7.5961,1.0,0.0955,23.74,0.9803,0.8397,0.9579,0.9154
"price:mid, store:oneractive","category:sportswear, country:UK, in_stock:yes",0.1268,0.1142,0.11,0.8675,7.5961,1.0,0.0955,6.685,0.9945,0.8397,0.8504,0.9154
"category:sportswear, in_stock:yes","country:UK, price:mid, store:oneractive",0.1142,0.1268,0.11,0.9632,7.5961,1.0,0.0955,23.74,0.9803,0.8397,0.9579,0.9154
"category:sportswear, price:mid","country:UK, in_stock:yes, store:oneractive",0.1268,0.1142,0.11,0.8675,7.5961,1.0,0.0955,6.685,0.9945,0.8397,0.8504,0.9154
store:oneractive,"category:sportswear, country:UK, in_stock:yes, price:mid",0.1575,0.11,0.11,0.6983,6.3483,1.0,0.0927,2.9503,1.0,0.6983,0.661,0.8492
category:sportswear,"country:UK, in_stock:yes, price:mid, store:oneractive",0.1575,0.11,0.11,0.6983,6.3483,1.0,0.0927,2.9503,1.0,0.6983,0.661,0.8492
store:taylorstitch,country:US,0.1575,0.4697,0.1575,1.0,2.1291,1.0,0.0835,999.0,0.6295,0.3354,1.0,0.6677
store:taylorstitch,on_promo:yes,0.1575,0.3983,0.1242,0.7883,1.9794,1.0,0.0614,2.8428,0.5873,0.2877,0.6482,0.5501
"country:US, store:taylorstitch",on_promo:yes,0.1575,0.3983,0.1242,0.7883,1.9794,1.0,0.0614,2.8428,0.5873,0.2877,0.6482,0.5501
"on_promo:yes, store:taylorstitch",country:US,0.1242,0.4697,0.1242,1.0,2.1291,1.0,0.0659,999.0,0.6055,0.2644,1.0,0.6322
store:taylorstitch,"country:US, on_promo:yes",0.1575,0.2436,0.1242,0.7883,3.2357,1.0,0.0858,3.5734,0.8201,0.4483,0.7202,0.649
"price:mid, store:taylorstitch",country:US,0.12,0.4697,0.12,1.0,2.1291,1.0,0.0636,999.0,0.6026,0.2554,1.0,0.6277
store:taylorstitch,"country:US, price:mid",0.1575,0.3316,0.12,0.7617,2.2971,1.0,0.0677,2.8045,0.6702,0.325,0.6434,0.5618
"price:mid, store:taylorstitch",on_promo:yes,0.12,0.3983,0.1042,0.8687,2.1812,1.0,0.0564,4.5832,0.6154,0.2517,0.7818,0.5652
store:taylorstitch,"on_promo:yes, price:mid",0.1575,0.2704,0.1042,0.6617,2.4469,1.0,0.0616,2.1564,0.7019,0.322,0.5363,0.5236
"country:US, price:mid, store:taylorstitch",on_promo:yes,0.12,0.3983,0.1042,0.8687,2.1812,1.0,0.0564,4.5832,0.6154,0.2517,0.7818,0.5652
"on_promo:yes, price:mid, store:taylorstitch",country:US,0.1042,0.4697,0.1042,1.0,2.1291,1.0,0.0553,999.0,0.592,0.2219,1.0,0.611
"country:US, store:taylorstitch","on_promo:yes, price:mid",0.1575,0.2704,0.1042,0.6617,2.4469,1.0,0.0616,2.1564,0.7019,0.322,0.5363,0.5236
"price:mid, store:taylorstitch","country:US, on_promo:yes",0.12,0.2436,0.1042,0.8687,3.5656,1.0,0.075,5.761,0.8176,0.4018,0.8264,0.6483
"on_promo:yes, store:taylorstitch","country:US, price:mid",0.1242,0.3316,0.1042,0.8393,2.5313,1.0,0.0631,4.16,0.6907,0.2965,0.7596,0.5768
store:taylorstitch,"country:US, on_promo:yes, price:mid",0.1575,0.1948,0.1042,0.6617,3.3966,1.0,0.0735,2.3799,0.8375,0.4201,0.5798,0.5984
category:wovens,store:taylorstitch,0.0512,0.1575,0.0512,1.0,6.3483,1.0,0.0431,999.0,0.8879,0.325,1.0,0.6625
category:wovens,country:US,0.0512,0.4697,0.0512,1.0,2.1291,1.0,0.0271,999.0,0.5589,0.109,1.0,0.5545
"category:wovens, store:taylorstitch",country:US,0.0512,0.4697,0.0512,1.0,2.1291,1.0,0.0271,999.0,0.5589,0.109,1.0,0.5545
"category:wovens, country:US",store:taylorstitch,0.0512,0.1575,0.0512,1.0,6.3483,1.0,0.0431,999.0,0.8879,0.325,1.0,0.6625
category:wovens,"country:US, store:taylorstitch",0.0512,0.1575,0.0512,1.0,6.3483,1.0,0.0431,999.0,0.8879,0.325,1.0,0.6625
price:high,country:US,0.0882,0.4697,0.0809,0.9167,1.9517,1.0,0.0394,6.3639,0.5348,0.1695,0.8429,0.5444
