antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
category:shoes,"country:US, in_stock:yes",0.0864,0.3229,0.0864,1.0,3.0967,1.0,0.0585,999.0,0.7411,0.2675,1.0,0.6337
"category:shoes, price:mid",country:US,0.0562,0.4697,0.0562,1.0,2.1291,1.0,0.0298,999.0,0.5619,0.1196,1.0,0.5598
category:shoes,"country:US, price:mid",0.0864,0.3316,0.0562,0.6505,1.9617,1.0,0.0275,1.9123,0.5366,0.1553,0.4771,0.4099
"category:shoes, country:US, in_stock:yes",store:allbirds,0.0864,0.105,0.0864,1.0,9.5225,1.0,0.0773,999.0,0.9796,0.8225,1.0,0.9112
"category:shoes, in_stock:yes, store:allbirds",country:US,0.0864,0.4697,0.0864,1.0,2.1291,1.0,0.0458,999.0,0.5805,0.1839,1.0,0.592
"country:US, in_stock:yes, store:allbirds",category:shoes,0.104,0.0864,0.0864,0.8308,9.6187,1.0,0.0774,5.3999,1.0,0.8308,0.8148,0.9154
"category:shoes, country:US","in_stock:yes, store:allbirds",0.0864,0.104,0.0864,1.0,9.6187,1.0,0.0774,999.0,0.9807,0.8308,1.0,0.9154
"category:shoes, in_stock:yes","country:US, store:allbirds",0.0864,0.105,0.0864,1.0,9.5225,1.0,0.0773,999.0,0.9796,0.8225,1.0,0.9112
"category:shoes, store:allbirds","country:US, in_stock:yes",0.0864,0.3229,0.0864,1.0,3.0967,1.0,0.0585,999.0,0.7411,0.2675,1.0,0.6337
"country:US, store:allbirds","category:shoes, in_stock:yes",0.105,0.0864,0.0864,0.8225,9.5225,1.0,0.0773,5.1472,1.0,0.8225,0.8057,0.9112
"in_stock:yes, store:allbirds","category:shoes, country:US",0.104,0.0864,0.0864,0.8308,9.6187,1.0,0.0774,5.3999,1.0,0.8308,0.8148,0.9154
category:shoes,"country:US, in_stock:yes, store:allbirds",0.0864,0.104,0.0864,1.0,9.6187,1.0,0.0774,999.0,0.9807,0.8308,1.0,0.9154
store:allbirds,"category:shoes, country:US, in_stock:yes",0.105,0.0864,0.0864,0.8225,9.5225,1.0,0.0773,5.1472,1.0,0.8225,0.8057,0.9112
"category:shoes, country:US, price:mid",store:allbirds,0.0562,0.105,0.0562,1.0,9.5225,1.0,0.0503,999.0,0.9483,0.535,1.0,0.7675
"category:shoes, price:mid, store:allbirds",country:US,0.0562,0.4697,0.0562,1.0,2.1291,1.0,0.0298,999.0,0.5619,0.1196,1.0,0.5598
"country:US, price:mid, store:allbirds",category:shoes,0.0656,0.0864,0.0562,0.856,9.9103,1.0,0.0505,6.3446,0.9623,0.5863,0.8424,0.7532
"category:shoes, country:US","price:mid, store:allbirds",0.0864,0.0656,0.0562,0.6505,9.9103,1.0,0.0505,2.6731,0.9841,0.5863,0.6259,0.7532
"category:shoes, price:mid","country:US, store:allbirds",0.0562,0.105,0.0562,1.0,9.5225,1.0,0.0503,999.0,0.9483,0.535,1.0,0.7675
"category:shoes, store:allbirds","country:US, price:mid",0.0864,0.3316,0.0562,0.6505,1.9617,1.0,0.0275,1.9123,0.5366,0.1553,0.4771,0.4099
"price:mid, store:allbirds","category:shoes, country:US",0.0656,0.0864,0.0562,0.856,9.9103,1.0,0.0505,6.3446,0.9623,0.5863,0.8424,0.7532
category:shoes,"country:US, price:mid, store:allbirds",0.0864,0.0656,0.0562,0.6505,9.9103,1.0,0.0505,2.6731,0.9841,0.5863,0.6259,0.7532
"category:shoes, in_stock:yes, price:mid",store:allbirds,0.0562,0.105,0.0562,1.0,9.5225,1.0,0.0503,999.0,0.9483,0.535,1.0,0.7675
"in_stock:yes, price:mid, store:allbirds",category:shoes,0.0654,0.0864,0.0562,0.8594,9.9501,1.0,0.0505,6.4998,0.9624,0.5879,0.8461,0.7549
"category:shoes, in_stock:yes","price:mid, store:allbirds",0.0864,0.0656,0.0562,0.6505,9.9103,1.0,0.0505,2.6731,0.9841,0.5863,0.6259,0.7532
"category:shoes, price:mid","in_stock:yes, store:allbirds",0.0562,0.104,0.0562,1.0,9.6187,1.0,0.0503,999.0,0.9494,0.5404,1.0,0.7702
"price:mid, store:allbirds","category:shoes, in_stock:yes",0.0656,0.0864,0.0562,0.856,9.9103,1.0,0.0505,6.3446,0.9623,0.5863,0.8424,0.7532
category:shoes,"in_stock:yes, price:mid, store:allbirds",0.0864,0.0654,0.0562,0.6505,9.9501,1.0,0.0505,2.6739,0.9845,0.5879,0.626,0.7549
"category:shoes, in_stock:yes, price:mid",country:US,0.0562,0.4697,0.0562,1.0,2.1291,1.0,0.0298,999.0,0.5619,0.1196,1.0,0.5598
"category:shoes, in_stock:yes","country:US, price:mid",0.0864,0.3316,0.0562,0.6505,1.9617,1.0,0.0275,1.9123,0.5366,0.1553,0.4771,0.4099
"category:shoes, price:mid","country:US, in_stock:yes",0.0562,0.3229,0.0562,1.0,3.0967,1.0,0.038,999.0,0.7174,0.174,1.0,0.587
category:shoes,"country:US, in_stock:yes, price:mid",0.0864,0.2137,0.0562,0.6505,3.0437,1.0,0.0377,2.2495,0.7349,0.2304,0.5555,0.4567
"category:shoes, country:US, in_stock:yes, price:mid",store:allbirds,0.0562,0.105,0.0562,1.0,9.5225,1.0,0.0503,999.0,0.9483,0.535,1.0,0.7675
"category:shoes, in_stock:yes, price:mid, store:allbirds",country:US,0.0562,0.4697,0.0562,1.0,2.1291,1.0,0.0298,999.0,0.5619,0.1196,1.0,0.5598
"country:US, in_stock:yes, price:mid, store:allbirds",category:shoes,0.0654,0.0864,0.0562,0.8594,9.9501,1.0,0.0505,6.4998,0.9624,0.5879,0.8461,0.7549
"category:shoes, country:US, in_stock:yes","price:mid, store:allbirds",0.0864,0.0656,0.0562,0.6505,9.9103,1.0,0.0505,2.6731,0.9841,0.5863,0.6259,0.7532
"category:shoes, country:US, price:mid","in_stock:yes, store:allbirds",0.0562,0.104,0.0562,1.0,9.6187,1.0,0.0503,999.0,0.9494,0.5404,1.0,0.7702
"category:shoes, in_stock:yes, store:allbirds","country:US, price:mid",0.0864,0.3316,0.0562,0.6505,1.9617,1.0,0.0275,1.9123,0.5366,0.1553,0.4771,0.4099
"category:shoes, price:mid, store:allbirds","country:US, in_stock:yes",0.0562,0.3229,0.0562,1.0,3.0967,1.0,0.038,999.0,0.7174,0.174,1.0,0.587
"category:shoes, in_stock:yes, price:mid","country:US, store:allbirds",0.0562,0.105,0.0562,1.0,9.5225,1.0,0.0503,999.0,0.9483,0.535,1.0,0.7675
"country:US, price:mid, store:allbirds","category:shoes, in_stock:yes",0.0656,0.0864,0.0562,0.856,9.9103,1.0,0.0505,6.3446,0.9623,0.5863,0.8424,0.7532
"in_stock:yes, price:mid, store:allbirds","category:shoes, country:US",0.0654,0.0864,0.0562,0.8594,9.9501,1.0,0.0505,6.4998,0.9624,0.5879,0.8461,0.7549
"category:shoes, country:US","in_stock:yes, price:mid, store:allbirds",0.0864,0.0654,0.0562,0.6505,9.9501,1.0,0.0505,2.6739,0.9845,0.5879,0.626,0.7549
"category:shoes, store:allbirds","country:US, in_stock:yes, price:mid",0.0864,0.2137,0.0562,0.6505,3.0437,1.0,0.0377,2.2495,0.7349,0.2304,0.5555,0.4567
"category:shoes, in_stock:yes","country:US, price:mid, store:allbirds",0.0864,0.0656,0.0562,0.6505,9.9103,1.0,0.0505,2.6731,0.9841,0.5863,0.6259,0.7532
"category:shoes, price:mid","country:US, in_stock:yes, store:allbirds",0.0562,0.104,0.0562,1.0,9.6187,1.0,0.0503,999.0,0.9494,0.5404,1.0,0.7702
"price:mid, store:allbirds","category:shoes, country:US, in_stock:yes",0.0656,0.0864,0.0562,0.856,9.9103,1.0,0.0505,6.3446,0.9623,0.5863,0.8424,0.7532
category:shoes,"country:US, in_stock:yes, price:mid, store:allbirds",0.0864,0.0654,0.0562,0.6505,9.9501,1.0,0.0505,2.6739,0.9845,0.5879,0.626,0.7549
store:kyliecosmetics,country:US,0.0664,0.4697,0.0664,1.0,2.1291,1.0,0.0352,999.0,0.5681,0.1414,1.0,0.5707
"in_stock:yes, store:kyliecosmetics",country:US,0.0664,0.4697,0.0664,1.0,2.1291,1.0,0.0352,999.0,0.5681,0.1414,1.0,0.5707
store:kyliecosmetics,"country:US, in_stock:yes",0.0664,0.3229,0.0664,1.0,3.0967,1.0,0.045,999.0,0.7253,0.2057,1.0,0.6028
"country:LT, in_stock:yes, store:burga",topk:1,0.131,0.2001,0.0457,0.3487,1.743,1.0,0.0195,1.2282,0.4906,0.1601,0.1858,0.2885
"in_stock:yes, store:burga",topk:1,0.131,0.2001,0.0457,0.3487,1.743,1.0,0.0195,1.2282,0.4906,0.1601,0.1858,0.2885
"country:LT, in_stock:yes",topk:1,0.131,0.2001,0.0457,0.3487,1.743,1.0,0.0195,1.2282,0.4906,0.1601,0.1858,0.2885
country:LT,topk:1,0.1313,0.2001,0.0457,0.348,1.7395,1.0,0.0194,1.2269,0.4894,0.1599,0.1849,0.2882
store:burga,topk:1,0.1313,0.2001,0.0457,0.348,1.7395,1.0,0.0194,1.2269,0.4894,0.1599,0.1849,0.2882
"country:LT, store:burga",topk:1,0.1313,0.2001,0.0457,0.348,1.7395,1.0,0.0194,1.2269,0.4894,0.1599,0.1849,0.2882
"country:LT, in_stock:yes, price:mid",topk:1,0.1276,0.2001,0.0444,0.3477,1.7382,1.0,0.0188,1.2264,0.4868,0.1566,0.1846,0.2848
"country:LT, price:mid",topk:1,0.1276,0.2001,0.0444,0.3477,1.7382,1.0,0.0188,1.2264,0.4868,0.1566,0.1846,0.2848
"country:LT, in_stock:yes, price:mid, store:burga",topk:1,0.1276,0.2001,0.0444,0.3477,1.7382,1.0,0.0188,1.2264,0.4868,0.1566,0.1846,0.2848
"in_stock:yes, price:mid, store:burga",topk:1,0.1276,0.2001,0.0444,0.3477,1.7382,1.0,0.0188,1.2264,0.4868,0.1566,0.1846,0.2848
"price:mid, store:burga",topk:1,0.1276,0.2001,0.0444,0.3477,1.7382,1.0,0.0188,1.2264,0.4868,0.1566,0.1846,0.2848
"country:LT, price:mid, store:burga",topk:1,0.1276,0.2001,0.0444,0.3477,1.7382,1.0,0.0188,1.2264,0.4868,0.1566,0.1846,0.2848
"category:phone_case, in_stock:yes",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
category:phone_case,topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:phone_case, store:burga",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:phone_case, country:LT",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:phone_case, country:LT, in_stock:yes",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:phone_case, price:mid, store:burga",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:phone_case, in_stock:yes, store:burga",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:phone_case, country:LT, price:mid, store:burga",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:phone_case, in_stock:yes, price:mid, store:burga",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:phone_case, country:LT, in_stock:yes, price:mid, store:burga",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:phone_case, country:LT, price:mid",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:phone_case, in_stock:yes, price:mid",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:phone_case, country:LT, in_stock:yes, store:burga",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:phone_case, price:mid",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:phone_case, country:LT, store:burga",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:phone_case, country:LT, in_stock:yes, price:mid",topk:1,0.1103,0.2001,0.0378,0.3429,1.7138,1.0,0.0157,1.2173,0.4681,0.1387,0.1785,0.2659
"category:mens_clothing, on_promo:yes",topk:1,0.0344,0.2001,0.011,0.3206,1.6026,1.0,0.0041,1.1775,0.3894,0.0494,0.1507,0.1879
"category:mens_clothing, on_promo:yes, store:chubbies",topk:1,0.0344,0.2001,0.011,0.3206,1.6026,1.0,0.0041,1.1775,0.3894,0.0494,0.1507,0.1879
"category:mens_clothing, country:US, on_promo:yes",topk:1,0.0344,0.2001,0.011,0.3206,1.6026,1.0,0.0041,1.1775,0.3894,0.0494,0.1507,0.1879
"category:mens_clothing, country:US, on_promo:yes, store:chubbies",topk:1,0.0344,0.2001,0.011,0.3206,1.6026,1.0,0.0041,1.1775,0.3894,0.0494,0.1507,0.1879
"on_promo:yes, store:chubbies",topk:1,0.036,0.2001,0.0113,0.3139,1.5689,1.0,0.0041,1.1659,0.3762,0.0502,0.1423,0.1851
"country:US, on_promo:yes, store:chubbies",topk:1,0.036,0.2001,0.0113,0.3139,1.5689,1.0,0.0041,1.1659,0.3762,0.0502,0.1423,0.1851
"category:mens_clothing, price:mid",topk:1,0.0953,0.2001,0.0286,0.3003,1.501,1.0,0.0096,1.1432,0.3689,0.1073,0.1253,0.2217
"category:mens_clothing, country:US, price:mid",topk:1,0.0953,0.2001,0.0286,0.3003,1.501,1.0,0.0096,1.1432,0.3689,0.1073,0.1253,0.2217
"category:mens_clothing, country:US, price:mid, store:chubbies",topk:1,0.0953,0.2001,0.0286,0.3003,1.501,1.0,0.0096,1.1432,0.3689,0.1073,0.1253,0.2217
"category:mens_clothing, price:mid, store:chubbies",topk:1,0.0953,0.2001,0.0286,0.3003,1.501,1.0,0.0096,1.1432,0.3689,0.1073,0.1253,0.2217
"country:US, price:mid, store:chubbies",topk:1,0.0979,0.2001,0.0294,0.3003,1.5009,1.0,0.0098,1.1432,0.37,0.1095,0.1253,0.2236
"price:mid, store:chubbies",topk:1,0.0979,0.2001,0.0294,0.3003,1.5009,1.0,0.0098,1.1432,0.37,0.1095,0.1253,0.2236
"in_stock:yes, price:mid, store:chubbies",topk:1,0.0879,0.2001,0.0263,0.2985,1.4921,1.0,0.0087,1.1404,0.3616,0.1003,0.1231,0.2149
"country:US, in_stock:yes, price:mid, store:chubbies",topk:1,0.0879,0.2001,0.0263,0.2985,1.4921,1.0,0.0087,1.1404,0.3616,0.1003,0.1231,0.2149
"category:mens_clothing, country:US, in_stock:yes, price:mid, store:chubbies",topk:1,0.0856,0.2001,0.0255,0.2975,1.4873,1.0,0.0083,1.1388,0.3583,0.0979,0.1219,0.2124
"category:mens_clothing, country:US, in_stock:yes, price:mid",topk:1,0.0856,0.2001,0.0255,0.2975,1.4873,1.0,0.0083,1.1388,0.3583,0.0979,0.1219,0.2124
"category:mens_clothing, in_stock:yes, price:mid",topk:1,0.0856,0.2001,0.0255,0.2975,1.4873,1.0,0.0083,1.1388,0.3583,0.0979,0.1219,0.2124
"category:mens_clothing, in_stock:yes, price:mid, store:chubbies",topk:1,0.0856,0.2001,0.0255,0.2975,1.4873,1.0,0.0083,1.1388,0.3583,0.0979,0.1219,0.2124
store:chubbies,topk:1,0.105,0.2001,0.031,0.295,1.4746,1.0,0.01,1.1347,0.3596,0.113,0.1187,0.2249
"country:US, store:chubbies",topk:1,0.105,0.2001,0.031,0.295,1.4746,1.0,0.01,1.1347,0.3596,0.113,0.1187,0.2249
category:mens_clothing,topk:1,0.1024,0.2001,0.0302,0.2949,1.474,1.0,0.0097,1.1345,0.3582,0.1109,0.1185,0.2229
"category:mens_clothing, country:US",topk:1,0.1024,0.2001,0.0302,0.2949,1.474,1.0,0.0097,1.1345,0.3582,0.1109,0.1185,0.2229
"category:mens_clothing, country:US, store:chubbies",topk:1,0.1024,0.2001,0.0302,0.2949,1.474,1.0,0.0097,1.1345,0.3582,0.1109,0.1185,0.2229
"category:mens_clothing, store:chubbies",topk:1,0.1024,0.2001,0.0302,0.2949,1.474,1.0,0.0097,1.1345,0.3582,0.1109,0.1185,0.2229
"country:US, in_stock:yes, store:chubbies",topk:1,0.0948,0.2001,0.0276,0.2909,1.4539,1.0,0.0086,1.1281,0.3449,0.1031,0.1135,0.2143
"in_stock:yes, store:chubbies",topk:1,0.0948,0.2001,0.0276,0.2909,1.4539,1.0,0.0086,1.1281,0.3449,0.1031,0.1135,0.2143
"category:mens_clothing, in_stock:yes",topk:1,0.0924,0.2001,0.0268,0.2898,1.4485,1.0,0.0083,1.1263,0.3411,0.1008,0.1122,0.2118
"category:mens_clothing, country:US, in_stock:yes",topk:1,0.0924,0.2001,0.0268,0.2898,1.4485,1.0,0.0083,1.1263,0.3411,0.1008,0.1122,0.2118
"category:mens_clothing, country:US, in_stock:yes, store:chubbies",topk:1,0.0924,0.2001,0.0268,0.2898,1.4485,1.0,0.0083,1.1263,0.3411,0.1008,0.1122,0.2118
"category:mens_clothing, in_stock:yes, store:chubbies",topk:1,0.0924,0.2001,0.0268,0.2898,1.4485,1.0,0.0083,1.1263,0.3411,0.1008,0.1122,0.2118
"country:UK, in_stock:yes, price:mid, store:oneractive",topk:1,0.11,0.2001,0.0302,0.2745,1.372,1.0,0.0082,1.1026,0.3046,0.1079,0.093,0.2127
"category:sportswear, country:UK, in_stock:yes, price:mid",topk:1,0.11,0.2001,0.0302,0.2745,1.372,1.0,0.0082,1.1026,0.3046,0.1079,0.093,0.2127
"in_stock:yes, price:mid, store:oneractive",topk:1,0.11,0.2001,0.0302,0.2745,1.372,1.0,0.0082,1.1026,0.3046,0.1079,0.093,0.2127
"category:sportswear, in_stock:yes, price:mid, store:oneractive",topk:1,0.11,0.2001,0.0302,0.2745,1.372,1.0,0.0082,1.1026,0.3046,0.1079,0.093,0.2127
"category:sportswear, in_stock:yes, price:mid",topk:1,0.11,0.2001,0.0302,0.2745,1.372,1.0,0.0082,1.1026,0.3046,0.1079,0.093,0.2127
"category:sportswear, country:UK, in_stock:yes, price:mid, store:oneractive",topk:1,0.11,0.2001,0.0302,0.2745,1.372,1.0,0.0082,1.1026,0.3046,0.1079,0.093,0.2127
"in_stock:yes, store:oneractive",topk:1,0.1142,0.2001,0.0312,0.2736,1.3675,1.0,0.0084,1.1012,0.3034,0.1104,0.0919,0.2149
"category:sportswear, in_stock:yes",topk:1,0.1142,0.2001,0.0312,0.2736,1.3675,1.0,0.0084,1.1012,0.3034,0.1104,0.0919,0.2149
"category:sportswear, in_stock:yes, store:oneractive",topk:1,0.1142,0.2001,0.0312,0.2736,1.3675,1.0,0.0084,1.1012,0.3034,0.1104,0.0919,0.2149
"category:sportswear, country:UK, in_stock:yes",topk:1,0.1142,0.2001,0.0312,0.2736,1.3675,1.0,0.0084,1.1012,0.3034,0.1104,0.0919,0.2149
"country:UK, in_stock:yes, store:oneractive",topk:1,0.1142,0.2001,0.0312,0.2736,1.3675,1.0,0.0084,1.1012,0.3034,0.1104,0.0919,0.2149
"category:sportswear, country:UK, in_stock:yes, store:oneractive",topk:1,0.1142,0.2001,0.0312,0.2736,1.3675,1.0,0.0084,1.1012,0.3034,0.1104,0.0919,0.2149
"price:mid, store:oneractive",topk:1,0.1268,0.2001,0.0347,0.2733,1.3661,1.0,0.0093,1.1008,0.3069,0.1186,0.0916,0.2233
"category:sportswear, price:mid, store:oneractive",topk:1,0.1268,0.2001,0.0347,0.2733,1.3661,1.0,0.0093,1.1008,0.3069,0.1186,0.0916,0.2233
"country:UK, price:mid, store:oneractive",topk:1,0.1268,0.2001,0.0347,0.2733,1.3661,1.0,0.0093,1.1008,0.3069,0.1186,0.0916,0.2233
"category:sportswear, country:UK, price:mid, store:oneractive",topk:1,0.1268,0.2001,0.0347,0.2733,1.3661,1.0,0.0093,1.1008,0.3069,0.1186,0.0916,0.2233
"category:sportswear, country:UK, price:mid",topk:1,0.1268,0.2001,0.0347,0.2733,1.3661,1.0,0.0093,1.1008,0.3069,0.1186,0.0916,0.2233
"category:sportswear, price:mid",topk:1,0.1268,0.2001,0.0347,0.2733,1.3661,1.0,0.0093,1.1008,0.3069,0.1186,0.0916,0.2233
"country:UK, store:oneractive",topk:1,0.1575,0.2001,0.0396,0.2517,1.258,1.0,0.0081,1.069,0.2434,0.1247,0.0645,0.2249
category:sportswear,topk:1,0.1575,0.2001,0.0396,0.2517,1.258,1.0,0.0081,1.069,0.2434,0.1247,0.0645,0.2249
"category:sportswear, store:oneractive",topk:1,0.1575,0.2001,0.0396,0.2517,1.258,1.0,0.0081,1.069,0.2434,0.1247,0.0645,0.2249
"category:sportswear, country:UK",topk:1,0.1575,0.2001,0.0396,0.2517,1.258,1.0,0.0081,1.069,0.2434,0.1247,0.0645,0.2249
store:oneractive,topk:1,0.1575,0.2001,0.0396,0.2517,1.258,1.0,0.0081,1.069,0.2434,0.1247,0.0645,0.2249
"category:sportswear, country:UK, store:oneractive",topk:1,0.1575,0.2001,0.0396,0.2517,1.258,1.0,0.0081,1.069,0.2434,0.1247,0.0645,0.2249
"in_stock:yes, price:mid",topk:1,0.5492,0.2001,0.1347,0.2452,1.2258,1.0,0.0248,1.0598,0.4086,0.2191,0.0565,0.4592
