product_id,cluster_id,segment,is_anomaly
6806280143050,0,premium,0
6806203793610,0,premium,0
6806257598666,0,premium,0
4857436602570,2,budget,0
6806408134858,0,premium,0
6806171713738,2,budget,0
6806380675274,2,budget,0
6806139928778,2,budget,0
6806170304714,2,budget,0
6806309568714,2,budget,0
6806565421258,0,premium,0
6806543139018,0,premium,0
6806335455434,2,budget,0
6806327656650,2,budget,0
6806572826826,0,premium,0
6806262644938,0,premium,0
6806491365578,0,premium,0
6806291153098,0,premium,0
6806534193354,2,budget,0
6806570303690,2,budget,0
6806411968714,0,premium,0
6806583312586,0,premium,0
6806553592010,0,premium,0
6806537666762,2,budget,0
6806432448714,0,premium,0
6806140846282,2,budget,0
6806561685706,0,premium,0
6806200811722,0,premium,0
6806279946442,0,premium,0
6806409052362,0,premium,0
6806509158602,0,premium,0
6805485519050,2,budget,0
6806551068874,1,mid_range,0
6806573088970,0,premium,0
6806352330954,2,budget,0
6806489661642,0,premium,0
6806258221258,0,premium,0
6806329491658,2,budget,0
6806221291722,2,budget,0
6806395125962,2,budget,0
6806261203146,0,premium,0
6806554181834,0,premium,0
6806395650250,2,budget,0
6806545301706,2,budget,0
6806502146250,2,budget,0
6535180746954,0,premium,0
6806141796554,2,budget,0
6805465432266,2,budget,0
6806551167178,1,mid_range,0
6806428287178,2,budget,0
6806369042634,2,budget,0
6806242164938,2,budget,0
6806250848458,0,premium,0
6806223519946,2,budget,0
6806361964746,2,budget,0
6806283485386,2,budget,0
6806536093898,2,budget,0
6806406856906,0,premium,0
6806164668618,2,budget,0
6806299934922,2,budget,0
6806566600906,0,premium,0
6806175776970,2,budget,0
6806349676746,2,budget,0
6806191767754,0,premium,0
6806350954698,2,budget,0
6806500704458,0,premium,0
6806206841034,0,premium,0
6806530752714,0,premium,0
6806221029578,2,budget,0
6806185377994,0,premium,0
6806406168778,2,budget,0
6806188818634,0,premium,0
6806548283594,0,premium,0
4581804539982,0,premium,0
6806163652810,2,budget,0
6806396797130,0,premium,0
6806561456330,2,budget,0
6806277062858,0,premium,0
6806315958474,1,mid_range,0
6806339420362,2,budget,0
6806185181386,0,premium,0
6806430777546,0,premium,0
6806572957898,0,premium,0
6806316777674,2,budget,0
6806419144906,2,budget,0
6806195929290,0,premium,0
6806351741130,2,budget,0
6806523576522,0,premium,0
6806366224586,2,budget,0
6806313173194,1,mid_range,0
6806256353482,0,premium,0
6806537339082,2,budget,0
6806170665162,2,budget,0
6806468919498,2,budget,0
6805281538250,2,budget,0
6806376710346,2,budget,0
6806522921162,0,premium,0
6806258942154,0,premium,0
6806185607370,0,premium,0
6806524625098,2,budget,0
6806325428426,2,budget,0
6806304489674,1,mid_range,0
6806547398858,2,budget,0
6806482649290,2,budget,0
6806189605066,0,premium,0
6806300491978,2,budget,0
6806562570442,2,budget,0
6806474424522,0,premium,0
6806212116682,0,premium,0
6806140518602,2,budget,0
6806493135050,2,budget,0
6806214312138,0,premium,0
6806531604682,2,budget,0
6806568173770,0,premium,0
6806378643658,2,budget,0
6806292857034,0,premium,0
6806395551946,2,budget,0
6806284894410,0,premium,0
6806319202506,2,budget,0
6806375170250,2,budget,0
6806566895818,2,budget,0
6806326280394,2,budget,0
6806308815050,1,mid_range,0
6806366453962,2,budget,0
6806350921930,2,budget,0
6806398173386,0,premium,0
6806074163402,0,premium,0
6805004845258,0,premium,0
6806152315082,2,budget,0
6806400205002,2,budget,0
6806184034506,2,budget,0
6806349480138,2,budget,0
4857431326922,2,budget,0
6806539763914,1,mid_range,0
6806410690762,0,premium,0
6806313337034,2,budget,0
6806544318666,2,budget,0
6806181150922,0,premium,0
6806267265226,0,premium,0
6806350430410,2,budget,0
6806190391498,0,premium,0
6806236627146,0,premium,0
6806515515594,0,premium,0
6806254256330,0,premium,0
4804692639822,2,budget,0
6806139961546,2,budget,0
6806213460170,0,premium,0
6805793079498,2,budget,0
6806148153546,1,mid_range,0
6806150316234,2,budget,0
6806263824586,0,premium,0
6806570631370,2,budget,0
6806233481418,2,budget,0
6806259531978,0,premium,0
6806503915722,0,premium,0
6806171254986,2,budget,0
6806516105418,2,budget,0
6806465741002,2,budget,0
6806401351882,2,budget,0
6806164373706,2,budget,0
6806519152842,2,budget,0
6806293283018,0,premium,0
6806507094218,0,premium,0
6806530851018,0,premium,0
6806188982474,0,premium,0
6806536192202,2,budget,0
6806469542090,0,premium,0
6806349217994,2,budget,0
6806555001034,0,premium,0
6806427828426,2,budget,0
6806550544586,2,budget,0
6806606086346,2,budget,0
6806405808330,2,budget,0
6806259597514,0,premium,0
6806221848778,2,budget,0
6806407577802,0,premium,0
6806273425610,0,premium,0
6806348890314,2,budget,0
6806552871114,2,budget,0
6806239510730,2,budget,0
6806422945994,2,budget,0
6806404923594,2,budget,0
6805810905290,0,premium,0
6806544449738,2,budget,0
6805942108362,0,premium,0
6806236823754,0,premium,0
6806197207242,0,premium,0
6806568108234,0,premium,0
6806547529930,0,premium,0
6806244262090,2,budget,0
6806548119754,0,premium,0
6806075277514,0,premium,0
6806405578954,2,budget,0
6806398402762,0,premium,0
6806310781130,1,mid_range,0
6806502277322,2,budget,0
4857435095242,0,premium,0
6806139240650,2,budget,0
6806374809802,2,budget,0
6806513746122,0,premium,0
6806535864522,2,budget,0
4857433686218,0,premium,0
6806338666698,2,budget,0
6806428778698,0,premium,0
6806355149002,2,budget,0
6806193012938,0,premium,0
6806234005706,2,budget,0
6806194028746,0,premium,0
6806179446986,2,budget,0
6806465315018,2,budget,0
6806539993290,0,premium,0
6806569418954,2,budget,0
6806366355658,2,budget,0
6806489333962,2,budget,0
6806300360906,2,budget,0
6806476783818,2,budget,0
6806331719882,2,budget,0
6806293741770,0,premium,0
6806246293706,2,budget,0
6806257860810,0,premium,0
6806316384458,1,mid_range,0
6806497427658,0,premium,0
6806502015178,2,budget,0
6806143008970,0,premium,0
6806393651402,0,premium,0
6806530523338,0,premium,0
6805093875914,1,mid_range,0
6806409937098,2,budget,0
6806521774282,0,premium,0
6806485074122,0,premium,0
6806486450378,2,budget,0
6806241902794,2,budget,0
6806537863370,2,budget,0
6806350561482,2,budget,0
6806353281226,2,budget,0
6806289023178,2,budget,0
6806509486282,0,premium,0
6806225289418,2,budget,0
6806509781194,2,budget,0
6806224896202,0,premium,0
6806568960202,0,premium,0
6806361899210,2,budget,0
6806184919242,0,premium,0
6806350168266,2,budget,0
6805893152970,0,premium,0
6806180364490,2,budget,0
6806369566922,2,budget,0
6806380576970,2,budget,0
6806317301962,1,mid_range,0
6806264185034,0,premium,0
6806402269386,0,premium,0
6806419439818,2,budget,0
6806573711562,2,budget,0
6806547726538,0,premium,0
6806242296010,2,budget,0
6806505521354,0,premium,0
6806357606602,2,budget,0
6806463611082,0,premium,0
6806521938122,2,budget,0
6806175645898,0,premium,0
6806561128650,2,budget,0
6806525116618,2,budget,0
6806553297098,0,premium,0
6806564241610,2,budget,0
6806548512970,0,premium,0
6806175187146,0,premium,0
6806534029514,2,budget,0
6806507618506,0,premium,0
6806425993418,2,budget,0
6806211592394,0,premium,0
6806376939722,2,budget,0
6806229156042,2,budget,0
6806510043338,0,premium,0
6806355443914,2,budget,0
6806379135178,2,budget,0
6806521053386,0,premium,0
6806540517578,0,premium,0
6806520135882,0,premium,0
6806177611978,2,budget,0
6806518759626,0,premium,0
6805964161226,0,premium,0
6806426878154,2,budget,0
6806362325194,2,budget,0
6806403711178,2,budget,0
6806354952394,2,budget,0
4847859499086,0,premium,0
6806364979402,2,budget,0
4857451774154,1,mid_range,0
4824378245198,0,premium,0
6806363865290,2,budget,0
6806174531786,0,premium,0
6806246555850,2,budget,0
6806381789386,2,budget,0
6805951152330,2,budget,0
6806546219210,0,premium,0
6806535635146,2,budget,0
6806397616330,0,premium,0
6806535143626,2,budget,0
6806553166026,2,budget,0
6806426583242,2,budget,0
6806503260362,0,premium,0
6806380216522,2,budget,0
6806547923146,0,premium,0
6806166143178,2,budget,0
4857438437578,2,budget,0
6806315040970,1,mid_range,0
6806147760330,2,budget,0
6806479601866,0,premium,0
6806483730634,2,budget,0
6806145532106,1,mid_range,0
4553954263118,2,budget,0
6806555099338,2,budget,0
6806150185162,2,budget,0
6806497132746,2,budget,0
6806228598986,0,premium,0
6806307373258,1,mid_range,0
6806530359498,2,budget,0
6806490349770,2,budget,0
6806454108362,2,budget,0
6806340010186,2,budget,0
6806218932426,0,premium,0
6806152609994,2,budget,0
6806339059914,2,budget,0
6806261006538,0,premium,0
6806496641226,2,budget,0
6806163456202,2,budget,0
6806414721226,2,budget,0
6806333030602,2,budget,0
6806467444938,2,budget,0
6806427009226,2,budget,0
6806537961674,2,budget,0
6806185902282,0,premium,0
6806411772106,0,premium,0
6806201172170,0,premium,0
15646982668675,2,budget,0
15409078731139,2,budget,0
7419363328149,2,budget,0
15599494300035,2,budget,0
15819073290627,2,budget,0
15352474796419,2,budget,0
15379490013571,2,budget,0
15171095593347,2,budget,0
15389727523203,2,budget,0
15319050486147,2,budget,0
15448245535107,2,budget,0
15728072720771,2,budget,0
15360493060483,2,budget,0
15819075060099,2,budget,0
15728074424707,2,budget,0
9730756346194,2,budget,0
15352470077827,2,budget,0
15544573788547,2,budget,0
15646993842563,2,budget,0
15544576311683,2,budget,0
15303349305731,2,budget,0
8733289480530,2,budget,0
8838341493074,2,budget,0
15599489089923,2,budget,0
15765864546691,2,budget,0
15575446520195,2,budget,0
15335324352899,2,budget,0
8360798617938,2,budget,0
15544574345603,2,budget,0
15646992761219,2,budget,0
15646980931971,2,budget,0
8360800026962,2,budget,0
15427617358211,2,budget,0
15427618668931,2,budget,0
15409078993283,2,budget,0
15360499286403,2,budget,0
15303352451459,2,budget,0
15646999937411,2,budget,0
15544580702595,2,budget,0
15396629840259,2,budget,0
15646981194115,2,budget,0
15506850513283,2,budget,0
15578842104195,2,budget,0
15409079288195,2,budget,0
15575445897603,2,budget,0
15544577130883,2,budget,0
8554467787090,2,budget,0
15448245731715,2,budget,0
15303353008515,2,budget,0
15352472469891,2,budget,0
15575445799299,2,budget,0
15599489253763,2,budget,0
15319057629571,2,budget,0
15646986142083,2,budget,0
15819074535811,2,budget,0
15575446913411,2,budget,0
15506860671363,2,budget,0
15646986633603,2,budget,0
15647000560003,2,budget,0
15335345947011,2,budget,0
15599492661635,2,budget,0
15352471683459,2,budget,0
15646999282051,2,budget,0
8976057893202,2,budget,0
15360496009603,2,budget,0
7571096207509,2,budget,0
15544579326339,2,budget,0
15819074077059,2,budget,0
15457872609667,2,budget,0
15599493251459,2,budget,0
15379489292675,2,budget,0
15427618963843,2,budget,0
15647002296707,2,budget,0
15506859753859,2,budget,0
15367706575235,2,budget,0
15409487413635,2,budget,0
15506850709891,2,budget,0
15303351435651,2,budget,0
15728067969411,2,budget,0
8573335765330,2,budget,0
15352470634883,2,budget,0
15599487713667,2,budget,0
15599488729475,2,budget,0
7855902982293,2,budget,0
15389726278019,2,budget,0
15599494234499,2,budget,0
15427618636163,2,budget,0
15527215071619,2,budget,0
15544574837123,2,budget,0
8743775568210,2,budget,0
15409489019267,2,budget,0
15396627382659,2,budget,0
15575439311235,2,budget,0
15457873232259,2,budget,0
15457874248067,2,budget,0
7400951414933,2,budget,0
15575439278467,2,budget,0
15427617325443,2,budget,0
15427616211331,2,budget,0
15427618341251,2,budget,0
15409079124355,2,budget,0
15544573854083,2,budget,0
15544577950083,2,budget,0
15319053238659,2,budget,0
15599489024387,2,budget,0
15396627513731,2,budget,0
15319058612611,2,budget,0
15448245633411,2,budget,0
15383821386115,2,budget,0
15389728145795,2,budget,0
9609102066002,2,budget,0
15819076436355,2,budget,0
15352471355779,2,budget,0
15544576508291,2,budget,0
8654554661202,2,budget,0
15578842038659,2,budget,0
15383821877635,2,budget,0
15396629905795,2,budget,0
15457873461635,2,budget,0
8639831146834,2,budget,0
9755296432466,2,budget,0
15578841579907,2,budget,0
15544583848323,2,budget,0
15448246649219,2,budget,0
15506857296259,2,budget,0
15427616342403,2,budget,0
15728074785155,2,budget,0
15599491514755,2,budget,0
8542096720210,2,budget,0
15578841416067,2,budget,0
15303352713603,2,budget,0
15396627218819,2,budget,0
14879236063619,2,budget,0
15544579817859,2,budget,0
15307286446467,2,budget,0
15396628693379,2,budget,0
15389728178563,2,budget,0
15448247206275,2,budget,0
15646989091203,2,budget,0
15307287593347,2,budget,0
15427617522051,2,budget,0
15352472830339,2,budget,0
15544578802051,2,budget,0
7428478009493,2,budget,0
8838341820754,2,budget,0
8455518093650,2,budget,0
15319057006979,2,budget,0
15383821844867,2,budget,0
15457874346371,2,budget,0
15457871724931,2,budget,0
